state,year,week,incidence
Johor,2017,28,1
Johor,2017,29,2
Johor,2017,30,0
Johor,2017,31,0
Johor,2017,32,4
Johor,2017,33,2
Johor,2017,34,0
Johor,2017,35,1
Johor,2017,36,1
Johor,2017,37,0
Johor,2017,38,1
Johor,2017,39,0
Johor,2017,40,0
Johor,2017,41,0
Johor,2017,42,0
Johor,2017,43,1
Johor,2017,44,0
Johor,2017,45,0
Johor,2017,46,0
Johor,2017,47,0
Johor,2017,48,0
Johor,2017,49,0
Johor,2017,50,0
Johor,2017,51,1
Johor,2017,52,2
Kedah,2010,1,0
Kedah,2010,2,0
Kedah,2010,3,0
Kedah,2010,4,1
Kedah,2010,5,0
Kedah,2010,6,0
Kedah,2010,7,0
Kedah,2010,8,0
Kedah,2010,9,0
Kedah,2010,10,0
Kedah,2010,11,0
Kedah,2010,12,0
Kedah,2010,13,0
Kedah,2010,14,1
Kedah,2010,15,0
Kedah,2010,16,0
Kedah,2010,17,0
Kedah,2010,18,0
Kedah,2010,19,0
Kedah,2010,20,0
Kedah,2010,21,0
Kedah,2010,22,0
Kedah,2010,23,0
Kedah,2010,24,0
Kedah,2010,25,1
Kedah,2010,26,0
Kedah,2010,27,0
Kedah,2010,28,0
Kedah,2010,29,0
Kedah,2010,30,0
Kedah,2010,31,0
Kedah,2010,32,0
Kedah,2010,33,0
Kedah,2010,34,0
Kedah,2010,35,0
Kedah,2010,36,0
Kedah,2010,37,0
Kedah,2010,38,0
Kedah,2010,39,0
Kedah,2010,40,0
Kedah,2010,41,0
Kedah,2010,42,0
Kedah,2010,43,0
Kedah,2010,44,0
Kedah,2010,45,0
Kedah,2010,46,0
Kedah,2010,47,0
Kedah,2010,48,0
Kedah,2010,49,0
Kedah,2010,50,0
Kedah,2010,51,0
Kedah,2010,52,0
Kedah,2011,1,3
Kedah,2011,2,1
Kedah,2011,3,0
Kedah,2011,4,1
Kedah,2011,5,1
Kedah,2011,6,0
Kedah,2011,7,2
Kedah,2011,8,0
Kedah,2011,9,0
Kedah,2011,10,0
Kedah,2011,11,0
Kedah,2011,12,0
Kedah,2011,13,0
Kedah,2011,14,0
Kedah,2011,15,1
Kedah,2011,16,0
Kedah,2011,17,0
Kedah,2011,18,1
Kedah,2011,19,0
Kedah,2011,20,0
Kedah,2011,21,0
Kedah,2011,22,0
Kedah,2011,23,0
Kedah,2011,24,2
Kedah,2011,25,1
Kedah,2011,26,1
Kedah,2011,27,1
Kedah,2011,28,0
Kedah,2011,29,0
Kedah,2011,30,1
Kedah,2011,31,0
Kedah,2011,32,0
Kedah,2011,33,0
Kedah,2011,34,0
Kedah,2011,35,0
Kedah,2011,36,0
Kedah,2011,37,0
Kedah,2011,38,0
Kedah,2011,39,0
Kedah,2011,40,0
Kedah,2011,41,0
Kedah,2011,42,0
Kedah,2011,43,0
Kedah,2011,44,2
Kedah,2011,45,0
Kedah,2011,46,1
Kedah,2011,47,0
Kedah,2011,48,0
Kedah,2011,49,1
Kedah,2011,50,0
Kedah,2011,51,0
Kedah,2011,52,1
Kedah,2012,1,1
Kedah,2012,2,0
Kedah,2012,3,0
Kedah,2012,4,0
Kedah,2012,5,0
Kedah,2012,6,0
Kedah,2012,7,0
Kedah,2012,8,0
Kedah,2012,9,1
