state,year,week,incidence
Johor,2017,26,5
Johor,2017,27,26
Johor,2017,28,22
Johor,2017,29,54
Johor,2017,30,40
Johor,2017,31,48
Johor,2017,32,53
Johor,2017,33,56
Johor,2017,34,63
Johor,2017,35,31
Johor,2017,36,29
Johor,2017,37,26
Johor,2017,38,38
Johor,2017,39,18
Johor,2017,40,31
Johor,2017,41,19
Johor,2017,42,21
Johor,2017,43,29
Johor,2017,44,8
Johor,2017,45,35
Johor,2017,46,22
Johor,2017,47,29
Johor,2017,48,16
Johor,2017,49,24
Johor,2017,50,20
Johor,2017,51,30
Johor,2017,52,11
Kedah,2010,1,2
Kedah,2010,2,10
Kedah,2010,3,10
Kedah,2010,4,6
Kedah,2010,5,11
Kedah,2010,6,5
Kedah,2010,7,3
Kedah,2010,8,4
Kedah,2010,9,9
Kedah,2010,10,14
Kedah,2010,11,3
Kedah,2010,12,5
Kedah,2010,13,6
Kedah,2010,14,3
Kedah,2010,15,7
Kedah,2010,16,14
Kedah,2010,17,13
Kedah,2010,18,13
Kedah,2010,19,7
Kedah,2010,20,20
Kedah,2010,21,8
Kedah,2010,22,26
Kedah,2010,23,14
Kedah,2010,24,33
Kedah,2010,25,29
Kedah,2010,26,42
Kedah,2010,27,54
Kedah,2010,28,63
Kedah,2010,29,14
Kedah,2010,30,61
Kedah,2010,31,36
Kedah,2010,32,60
Kedah,2010,33,68
Kedah,2010,34,19
Kedah,2010,35,38
Kedah,2010,36,17
Kedah,2010,37,2
Kedah,2010,38,28
Kedah,2010,39,7
Kedah,2010,40,18
Kedah,2010,41,15
Kedah,2010,42,8
Kedah,2010,43,15
Kedah,2010,44,8
Kedah,2010,45,1
Kedah,2010,46,17
Kedah,2010,47,8
Kedah,2010,48,4
Kedah,2010,49,9
Kedah,2010,50,4
Kedah,2010,51,5
Kedah,2010,52,1
Kedah,2011,1,0
Kedah,2011,2,2
Kedah,2011,3,0
Kedah,2011,4,7
Kedah,2011,5,1
Kedah,2011,6,0
Kedah,2011,7,2
Kedah,2011,8,1
Kedah,2011,9,1
Kedah,2011,10,4
Kedah,2011,11,3
Kedah,2011,12,1
Kedah,2011,13,0
Kedah,2011,14,0
Kedah,2011,15,1
Kedah,2011,16,0
Kedah,2011,17,2
Kedah,2011,18,0
Kedah,2011,19,1
Kedah,2011,20,0
Kedah,2011,21,10
Kedah,2011,22,4
Kedah,2011,23,7
Kedah,2011,24,2
Kedah,2011,25,2
Kedah,2011,26,1
Kedah,2011,27,5
Kedah,2011,28,5
Kedah,2011,29,4
Kedah,2011,30,1
Kedah,2011,31,5
Kedah,2011,32,3
Kedah,2011,33,3
Kedah,2011,34,2
Kedah,2011,35,6
Kedah,2011,36,0
Kedah,2011,37,6
Kedah,2011,38,9
Kedah,2011,39,3
Kedah,2011,40,39
Kedah,2011,41,5
Kedah,2011,42,8
Kedah,2011,43,18
Kedah,2011,44,10
Kedah,2011,45,6
Kedah,2011,46,34
Kedah,2011,47,10
Kedah,2011,48,13
Kedah,2011,49,8
Kedah,2011,50,15
Kedah,2011,51,9
Kedah,2011,52,5
Kedah,2012,1,2
Kedah,2012,2,8
Kedah,2012,3,5
Kedah,2012,4,12
Kedah,2012,5,6
Kedah,2012,6,17
Kedah,2012,7,8
Kedah,2012,8,22
Kedah,2012,9,11
Kedah,2012,10,29
Kedah,2012,11,25
Kedah,2012,12,39
Kedah,2012,13,34
Kedah,2012,14,34
Kedah,2012,15,37
Kedah,2012,16,39
Kedah,2012,17,50
Kedah,2012,18,23
Kedah,2012,19,58
Kedah,2012,20,46
Kedah,2012,21,26
Kedah,2012,22,34
Kedah,2012,23,34
Kedah,2012,24,38
Kedah,2012,25,24
Kedah,2012,26,42
Kedah,2012,27,31
Kedah,2012,28,11
Kedah,2012,29,40
Kedah,2012,30,35
Kedah,2012,31,38
Kedah,2012,32,22
Kedah,2012,33,39
Kedah,2012,34,6
Kedah,2012,35,26
Kedah,2012,36,20
Kedah,2012,37,11
Kedah,2012,38,8
Kedah,2012,39,11
Kedah,2012,40,13
Kedah,2012,41,8
Kedah,2012,42,8
Kedah,2012,43,8
Kedah,2012,44,3
Kedah,2012,45,12
Kedah,2012,46,4
Kedah,2012,47,5
Kedah,2012,48,5
Kedah,2012,49,12
Kedah,2012,50,5
Kedah,2012,51,5
Kedah,2012,52,10
Kedah,2013,1,8
Kedah,2013,2,6
Kedah,2013,3,8
Kedah,2013,4,6
Kedah,2013,5,11
Kedah,2013,6,6
Kedah,2013,7,9
Kedah,2013,8,11
Kedah,2013,9,11
Kedah,2013,10,5
Kedah,2013,11,12
Kedah,2013,12,16
Kedah,2013,13,19
Kedah,2013,14,16
Kedah,2013,15,14
Kedah,2013,16,24
Kedah,2013,17,12
Kedah,2013,18,15
Kedah,2013,19,12
Kedah,2013,20,15
Kedah,2013,21,11
Kedah,2013,22,18
Kedah,2013,23,15
Kedah,2013,24,22
Kedah,2013,25,16
Kedah,2013,26,26
Kedah,2013,27,20
Kedah,2013,28,27
Kedah,2013,29,23
Kedah,2013,30,21
Kedah,2013,31,17
Kedah,2013,32,15
Kedah,2013,33,10
Kedah,2013,34,19
Kedah,2013,35,13
Kedah,2013,36,14
Kedah,2013,37,18
Kedah,2013,38,16
Kedah,2013,39,16
Kedah,2013,40,16
Kedah,2013,41,11
Kedah,2013,42,3
Kedah,2013,43,10
Kedah,2013,44,13
Kedah,2013,45,10
Kedah,2013,46,15
Kedah,2013,47,16
Kedah,2013,48,17
Kedah,2013,49,16
Kedah,2013,50,10
Kedah,2013,51,23
Kedah,2013,52,11
Kedah,2014,1,14
Kedah,2014,2,3
Kedah,2014,3,18
Kedah,2014,4,16
Kedah,2014,5,23
Kedah,2014,6,25
Kedah,2014,7,17
Kedah,2014,8,22
Kedah,2014,9,13
Kedah,2014,10,32
Kedah,2014,11,13
Kedah,2014,12,31
Kedah,2014,13,12
Kedah,2014,14,19
Kedah,2014,15,16
Kedah,2014,16,25
Kedah,2014,17,35
Kedah,2014,18,23
Kedah,2014,19,23
Kedah,2014,20,20
Kedah,2014,21,23
Kedah,2014,22,15
Kedah,2014,23,29
Kedah,2014,24,26
Kedah,2014,25,11
Kedah,2014,26,7
Kedah,2014,27,11
Kedah,2014,28,9
Kedah,2014,29,11
Kedah,2014,30,10
Kedah,2014,31,8
Kedah,2014,32,8
Kedah,2014,33,5
Kedah,2014,34,15
Kedah,2014,35,9
Kedah,2014,36,13
Kedah,2014,37,17
Kedah,2014,38,1
Kedah,2014,39,33
Kedah,2014,40,9
Kedah,2014,41,23
Kedah,2014,42,17
Kedah,2014,43,27
Kedah,2014,44,20
Kedah,2014,45,36
Kedah,2014,46,27
Kedah,2014,47,20
Kedah,2014,48,30
Kedah,2014,49,15
Kedah,2014,50,27
Kedah,2014,51,25
Kedah,2014,52,19
Kedah,2014,53,20
Kedah,2015,1,8
Kedah,2015,2,28
Kedah,2015,3,20
Kedah,2015,4,21
Kedah,2015,5,9
Kedah,2015,6,18
Kedah,2015,7,24
Kedah,2015,8,9
Kedah,2015,9,21
Kedah,2015,10,16
Kedah,2015,11,10
Kedah,2015,12,10
Kedah,2015,13,6
Kedah,2015,14,4
Kedah,2015,15,6
Kedah,2015,16,11
Kedah,2015,17,8
Kedah,2015,18,10
Kedah,2015,19,11
Kedah,2015,20,15
Kedah,2015,21,13
Kedah,2015,22,9
Kedah,2015,23,3
Kedah,2015,24,2
Kedah,2015,25,5
Kedah,2015,26,8
Kedah,2015,27,8
Kedah,2015,28,5
Kedah,2015,29,6
Kedah,2015,30,3
Kedah,2015,31,5
Kedah,2015,32,4
Kedah,2015,33,3
Kedah,2015,34,4
Kedah,2015,35,10
Kedah,2015,36,9
Kedah,2015,37,5
Kedah,2015,38,5
