state,year,week,incidence
Kuala Lumpur,2014,49,35
Kuala Lumpur,2014,50,37
Kuala Lumpur,2014,51,44
Kuala Lumpur,2014,52,28
Kuala Lumpur,2014,53,35
Kuala Lumpur,2015,1,47
Kuala Lumpur,2015,2,22
Kuala Lumpur,2015,3,35
Kuala Lumpur,2015,4,24
Kuala Lumpur,2015,5,14
Kuala Lumpur,2015,6,13
Kuala Lumpur,2015,7,49
Kuala Lumpur,2015,8,32
Kuala Lumpur,2015,9,35
Kuala Lumpur,2015,10,42
Kuala Lumpur,2015,11,26
Kuala Lumpur,2015,12,25
Kuala Lumpur,2015,13,46
Kuala Lumpur,2015,14,23
Kuala Lumpur,2015,15,28
Kuala Lumpur,2015,16,46
Kuala Lumpur,2015,17,33
Kuala Lumpur,2015,18,23
Kuala Lumpur,2015,19,36
Kuala Lumpur,2015,20,32
Kuala Lumpur,2015,21,48
Kuala Lumpur,2015,22,17
Kuala Lumpur,2015,23,38
Kuala Lumpur,2015,24,41
Kuala Lumpur,2015,25,43
Kuala Lumpur,2015,26,36
Kuala Lumpur,2015,27,30
Kuala Lumpur,2015,28,20
Kuala Lumpur,2015,29,20
Kuala Lumpur,2015,30,31
Kuala Lumpur,2015,31,50
Kuala Lumpur,2015,32,40
Kuala Lumpur,2015,33,39
Kuala Lumpur,2015,34,18
Kuala Lumpur,2015,35,23
Kuala Lumpur,2015,36,33
Kuala Lumpur,2015,37,54
Kuala Lumpur,2015,38,27
Kuala Lumpur,2015,39,34
Kuala Lumpur,2015,40,48
Kuala Lumpur,2015,41,41
Kuala Lumpur,2015,42,32
Kuala Lumpur,2015,43,45
Kuala Lumpur,2015,44,19
Kuala Lumpur,2015,45,41
Kuala Lumpur,2015,46,64
Kuala Lumpur,2015,47,19
Kuala Lumpur,2015,48,25
Kuala Lumpur,2015,49,63
Kuala Lumpur,2015,50,54
Kuala Lumpur,2015,51,36
Kuala Lumpur,2015,52,59
Kuala Lumpur,2016,1,58
Kuala Lumpur,2016,2,58
Kuala Lumpur,2016,3,14
Kuala Lumpur,2016,4,42
Kuala Lumpur,2016,5,32
Kuala Lumpur,2016,6,14
Kuala Lumpur,2016,7,31
Kuala Lumpur,2016,8,45
Kuala Lumpur,2016,9,36
Kuala Lumpur,2016,10,36
Kuala Lumpur,2016,11,33
Kuala Lumpur,2016,12,23
Kuala Lumpur,2016,13,60
Kuala Lumpur,2016,14,41
Kuala Lumpur,2016,15,22
Kuala Lumpur,2016,16,50
Kuala Lumpur,2016,17,28
Kuala Lumpur,2016,18,25
Kuala Lumpur,2016,19,42
Kuala Lumpur,2016,20,22
Kuala Lumpur,2016,21,50
Kuala Lumpur,2016,22,56
Kuala Lumpur,2016,23,19
Kuala Lumpur,2016,24,47
Kuala Lumpur,2016,25,38
Kuala Lumpur,2016,26,38
Kuala Lumpur,2016,27,12
Kuala Lumpur,2016,28,31
Kuala Lumpur,2016,29,53
Kuala Lumpur,2016,30,22
Kuala Lumpur,2016,31,27
Kuala Lumpur,2016,32,33
Kuala Lumpur,2016,33,38
Kuala Lumpur,2016,34,13
Kuala Lumpur,2016,35,28
Kuala Lumpur,2016,36,26
Kuala Lumpur,2016,37,24
Kuala Lumpur,2016,38,48
Kuala Lumpur,2016,39,20
Kuala Lumpur,2016,40,31
Kuala Lumpur,2016,41,41
Kuala Lumpur,2016,42,38
Kuala Lumpur,2016,43,27
Kuala Lumpur,2016,44,17
Kuala Lumpur,2016,45,19
Kuala Lumpur,2016,46,40
Kuala Lumpur,2016,47,23
Kuala Lumpur,2016,48,26
Kuala Lumpur,2016,49,24
Kuala Lumpur,2016,50,78
Kuala Lumpur,2016,51,75
Kuala Lumpur,2016,52,129
Kuala Lumpur,2017,1,12
Kuala Lumpur,2017,2,31
Kuala Lumpur,2017,3,40
Kuala Lumpur,2017,4,31
Kuala Lumpur,2017,5,18
Kuala Lumpur,2017,6,31
Kuala Lumpur,2017,7,45
Kuala Lumpur,2017,8,60
Kuala Lumpur,2017,9,34
Kuala Lumpur,2017,10,42
Kuala Lumpur,2017,11,30
Kuala Lumpur,2017,12,19
Kuala Lumpur,2017,13,26
Kuala Lumpur,2017,14,71
Kuala Lumpur,2017,15,35
Kuala Lumpur,2017,16,33
Kuala Lumpur,2017,17,60
Kuala Lumpur,2017,18,9
Kuala Lumpur,2017,19,46
Kuala Lumpur,2017,20,36
Kuala Lumpur,2017,21,46
Kuala Lumpur,2017,22,42
Kuala Lumpur,2017,23,39
Kuala Lumpur,2017,24,50
Kuala Lumpur,2017,25,46
Kuala Lumpur,2017,26,5
Kuala Lumpur,2017,27,39
Kuala Lumpur,2017,28,48
Kuala Lumpur,2017,29,60
Kuala Lumpur,2017,30,58
Kuala Lumpur,2017,31,50
Kuala Lumpur,2017,32,42
Kuala Lumpur,2017,33,32
Kuala Lumpur,2017,34,43
Kuala Lumpur,2017,35,20
Kuala Lumpur,2017,36,45
Kuala Lumpur,2017,37,50
Kuala Lumpur,2017,38,25
Kuala Lumpur,2017,39,40
Kuala Lumpur,2017,40,24
Kuala Lumpur,2017,41,50
Kuala Lumpur,2017,42,46
Kuala Lumpur,2017,43,46
Kuala Lumpur,2017,44,40
Kuala Lumpur,2017,45,51
Kuala Lumpur,2017,46,51
Kuala Lumpur,2017,47,42
Kuala Lumpur,2017,48,44
Kuala Lumpur,2017,49,31
Kuala Lumpur,2017,50,43
Kuala Lumpur,2017,51,38
Kuala Lumpur,2017,52,90
Labuan,2014,1,0
Labuan,2014,2,0
Labuan,2014,3,4
Labuan,2014,4,7
Labuan,2014,5,0
Labuan,2014,6,1
Labuan,2014,7,0
Labuan,2014,8,1
Labuan,2014,9,4
Labuan,2014,10,1
Labuan,2014,11,0
Labuan,2014,12,4
Labuan,2014,13,3
Labuan,2014,14,0
Labuan,2014,15,3
Labuan,2014,16,1
Labuan,2014,17,1
Labuan,2014,18,0
Labuan,2014,19,6
Labuan,2014,20,2
Labuan,2014,21,1
Labuan,2014,22,2
Labuan,2014,23,0
Labuan,2014,24,1
Labuan,2014,25,6
Labuan,2014,26,0
Labuan,2014,27,1
Labuan,2014,28,2
Labuan,2014,29,1
Labuan,2014,30,0
Labuan,2014,31,0
Labuan,2014,32,0
Labuan,2014,33,2
Labuan,2014,34,0
Labuan,2014,35,0
Labuan,2014,36,8
Labuan,2014,37,2
Labuan,2014,38,0
Labuan,2014,39,6
Labuan,2014,40,2
Labuan,2014,41,0
Labuan,2014,42,3
Labuan,2014,43,8
Labuan,2014,44,4
Labuan,2014,45,4
Labuan,2014,46,2
Labuan,2014,47,3
Labuan,2014,48,4
Labuan,2014,49,2
Labuan,2014,50,0
Labuan,2014,51,2
Labuan,2014,52,0
Labuan,2014,53,0
Labuan,2015,1,3
Labuan,2015,2,1
Labuan,2015,3,1
Labuan,2015,4,0
Labuan,2015,5,5
Labuan,2015,6,4
Labuan,2015,7,1
Labuan,2015,8,4
Labuan,2015,9,2
Labuan,2015,10,1
Labuan,2015,11,2
Labuan,2015,12,0
Labuan,2015,13,1
Labuan,2015,14,5
Labuan,2015,15,0
Labuan,2015,16,0
Labuan,2015,17,5
Labuan,2015,18,0
Labuan,2015,19,4
Labuan,2015,20,0
Labuan,2015,21,5
Labuan,2015,22,2
Labuan,2015,23,1
Labuan,2015,24,3
